Program TL1 green;Program TL1 yellow;Program TL1 red;Program TL2 green;Program TL2 yellow;Program TL2 red;Program TL3 green;Program TL3 yellow;Program TL3 red;Highway Flow [veh/h];Ramp1 Flow [veh/h];Ramp2 Flow [veh/h];Ramp3 Flow [veh/h];hwLoop10MeanSpeed;hwLoop10VehicleNum;hwLoop11MeanSpeed;hwLoop11VehicleNum;hwLoop20MeanSpeed;hwLoop20VehicleNum;hwLoop21MeanSpeed;hwLoop21VehicleNum;hwLoop30MeanSpeed;hwLoop30VehicleNum;hwLoop31MeanSpeed;hwLoop31VehicleNum;hwLoop40MeanSpeed;hwLoop40VehicleNum;hwLoop41MeanSpeed;hwLoop41VehicleNum;rampLoop1MeanSpeed;rampLoop1VehicleNum;rampLoop2MeanSpeed;rampLoop2VehicleNum;rampLoop3MeanSpeed;rampLoop3VehicleNum;fill
60;5;25;45;5;40;45;5;10;4000;160;120;400;26.362254710607605;1596;30.71127930183474;2364;26.756366348931458;1740;31.84722731756351;2424;26.764327321116443;1806;32.82447363312553;2436;21.850914131667253;2088;31.981331134943222;2610;11.540236672167467;162;10.988162938163585;120;7.972714686976708;396;,,
45;5;10;45;5;10;45;5;10;4000;400;400;200;26.013078840945305;1566;29.82827349486357;2448;22.84541437085085;1890;30.66866489829283;2514;22.430364745742406;2154;30.69257363265601;2568;22.678530871018268;2196;30.93041974864796;2664;9.979343810843979;396;9.438590411720082;396;11.554353116013353;216;,,
30;5;25;45;5;40;30;5;25;4000;400;400;200;27.01147803058707;1518;31.080646997209563;2472;23.10840864950611;1818;31.250109352475235;2568;20.363339187146256;2190;31.059617800519305;2634;23.848816838153116;2262;30.916953744676995;2766;10.50549294288114;402;10.715024107139117;402;12.236089165225609;204;,,
45;5;40;45;5;10;60;5;25;4000;400;400;200;25.690167331359007;1608;28.80670054906191;2394;22.098561278877703;1860;29.851142453067634;2520;21.939631948622104;2208;32.12509604394409;2550;22.799546260109935;2232;31.40204079064241;2688;9.446527286068733;396;9.065388133396183;390;7.830618125327829;198;,,
45;5;10;30;5;25;45;5;40;800;320;280;240;32.60147840812222;480;36.277646543169865;450;28.41966544715076;768;35.95377861918412;558;27.39044021734097;870;33.91635320505706;996;26.91679835718111;1080;32.90005003435756;1308;8.792356493349304;336;10.464994827176987;300;10.118714186067763;246;,,
30;5;25;45;5;10;60;5;25;800;320;280;240;33.8789636136243;396;37.36528781820782;402;28.70066240055833;576;37.212464378728164;552;29.495361368434004;690;36.38867832344476;702;29.548445332366555;756;35.72664555437801;906;10.86083889172605;330;7.914454734757729;276;8.598917267445634;240;,,
30;5;25;30;5;25;45;5;10;800;320;280;240;34.79079835502923;414;37.40619457463928;384;29.410711896382058;606;37.23998348126038;510;29.70167283142775;702;36.10731271424189;708;29.988892100031045;744;35.21692721787893;876;9.436537094101;324;10.511167348299125;282;9.916417963206246;240;,,
60;5;25;60;5;25;60;5;25;800;240;40;200;33.796217953674685;408;37.79958924610432;390;30.639757181240608;588;37.29799111372241;462;32.75855263035369;552;36.899714800954996;552;29.64399144456042;558;35.26127308969994;774;9.964657425079631;252;10.970695845253243;48;11.427221948949178;204;,,
45;5;10;60;5;25;45;5;40;800;240;40;200;35.07641907047432;426;37.72414175272051;372;31.27991481428551;600;37.441462646772976;438;33.99457780809826;594;37.54040942234422;474;31.49776376580838;666;36.682872080646106;606;9.856029334050882;240;13.319339660851982;42;9.105601515707535;204;,,
45;5;10;60;5;25;45;5;40;800;240;40;200;33.89915467967201;438;37.94200995001793;360;30.89690521887125;582;37.688983872409764;456;33.32157896508534;576;37.56880280885201;504;30.97656068383667;696;36.25333379425566;576;11.497072740972483;240;12.974887041317125;36;9.179405610621632;198;,,
45;5;10;60;5;25;30;5;25;2400;400;360;360;33.95707960318497;936;35.24912049204472;1398;27.07235490484677;1080;34.819859908076275;1626;26.619900235102428;1236;32.5652954935075;1722;23.78692832835053;1284;33.52859254795061;1890;10.672846249812377;396;10.350374917715714;360;8.64374523480135;360;,,
30;5;25;30;5;25;45;5;40;2400;400;360;360;34.14946073615594;996;35.68734341286264;1398;25.879857415054186;1068;35.40866273880207;1734;25.851395541247673;1278;34.03733080929577;1884;25.136923568223203;1500;33.57322089258993;2046;10.299219739223417;402;9.775169478411636;360;8.48913812098139;360;,,
30;5;25;45;5;40;45;5;40;2400;400;360;360;34.15573098847179;978;35.69772511409531;1422;26.844092873458912;1170;35.431748547559984;1614;25.135784502111477;1398;34.323020650928726;1770;23.958772379321548;1446;33.396165824383615;2022;9.420603152652845;396;8.701801821857293;354;8.295425068526237;354;,,
45;5;10;45;5;10;30;5;25;2400;160;120;200;34.21292874460289;1032;35.50688640909066;1362;30.41276591307524;1038;35.001040233551386;1548;30.007562179199066;1116;33.74160870554878;1572;26.601611124805768;1218;34.30883976894209;1758;9.495833111003181;180;10.000877872586072;132;8.771739795514412;222;,,
45;5;40;45;5;10;30;5;25;2400;160;120;200;34.447121259126014;978;35.54286671400933;1422;30.828858520438406;1008;35.3966682593323;1548;30.96269808997137;1128;33.8111403647318;1560;29.04140719862427;1194;34.073958119171074;1704;11.435169868701058;168;13.38746856622528;120;8.21024508369088;204;,,
45;5;40;45;5;10;45;5;40;2400;160;120;200;34.37013530240837;1020;36.0147671485656;1380;31.133975283909685;1002;35.67748662899207;1548;30.103722450041765;1050;34.50257927570094;1620;28.136233271736973;1146;34.3369197949201;1716;7.529542553576918;162;13.277165419213668;120;8.053688276464902;204;,,
45;5;40;30;5;25;45;5;10;1200;80;160;240;34.39018330076948;594;37.025218822870706;648;32.75090595464953;654;37.09742667625678;690;31.491411599691652;738;36.72416973558215;840;29.406726574898702;810;35.429384321117496;1080;9.552374694791604;90;11.625353333336882;162;8.742323469248692;246;,,
30;5;25;45;5;10;30;5;25;1200;80;160;240;34.37801613652895;564;37.340677769578946;630;32.76639750677885;636;37.6739010715424;642;31.34600676927762;702;37.21882604836093;732;30.006559597117306;732;35.527287387108984;948;10.162475479764597;78;9.23162104065313;162;11.751031409540243;240;,,
45;5;40;45;5;40;60;5;25;1200;80;160;240;34.49041827710797;546;37.022810422037985;648;32.86040591552478;642;37.81927233245866;636;31.1703540525251;660;36.62315810730893;792;30.424016594088037;756;35.11533364347955;936;13.345711687829361;78;11.163010305856814;168;8.512591771558414;240;,,
45;5;40;45;5;40;45;5;10;1200;360;360;400;34.610300235100354;570;37.40281653343046;630;29.726543171126647;780;37.0363068220981;768;29.09853546959979;924;36.30415095771537;954;27.421887031532826;894;34.746774899353305;1338;8.970130834423506;354;8.862940841608255;360;9.64525646306708;402;,,
45;5;10;45;5;10;45;5;40;1200;360;360;400;33.551069246397454;552;36.88965645278842;642;29.075812844175772;780;36.334254029477506;786;28.967474842977285;900;35.13761759161753;1014;27.404642334849687;936;34.36039495998479;1368;8.538066511203246;366;8.79147219792222;366;10.382346702776323;402;,,
45;5;10;60;5;25;30;5;25;1200;360;360;400;33.725628194544186;564;37.09005160144921;630;29.223444715274415;744;36.38242400574799;810;28.905645934139443;894;34.82101622634696;1026;27.409701633973775;996;34.47707285944867;1338;10.008251972564754;360;10.31293929176823;354;8.95463083923422;390;,,
45;5;40;45;5;40;45;5;10;1600;40;80;160;34.157913718102556;666;36.325894050655876;918;33.496567795621246;762;36.82995644392309;870;32.0712802906433;822;35.80768742389499;888;30.092671852875927;822;35.187785105362586;1074;11.549435334037389;48;12.112057482099294;90;8.534142226065612;186;,,
30;5;25;30;5;25;60;5;25;1600;40;80;160;33.71743965716363;678;36.61245409194596;918;33.207976722280215;768;37.0665002707201;882;32.16936369372995;786;35.21688741862841;942;30.387173272094298;834;34.486840261481746;1080;13.376655379987131;42;10.254705205019139;78;11.948365899128301;162;,,
45;5;40;45;5;40;30;5;25;1600;40;80;160;33.68823991616778;696;36.414651932334294;906;33.178746912193375;726;36.9487381938329;906;31.035141963441323;696;35.695554770649075;1020;30.505651969321896;798;35.12087521483118;1062;12.761945581438626;36;9.677968580189459;78;11.138597771466902;162;,,
60;5;25;60;5;25;30;5;25;1600;320;160;200;33.58370979187496;690;36.08249955119223;912;30.34233524471308;942;35.94956478718883;978;29.99966937464844;834;35.15756267591898;1212;29.144479818890236;924;34.64249670330139;1302;8.54832776117535;324;8.068460113827493;162;8.381427191425098;204;,,
